00108D,2128,1828,1678,1978,2278,1768,1798,1738,1708,1858,1888,1918,1948,2008,2038,2068,2098,2158,2188,2218,2248,2248
00109D,1304,1004,854,1154,1454,944,974,914,884,1034,1064,1094,1124,1184,1214,1244,1274,1334,1364,1394,1424,1424
00110D,1420,1120,970,1270,1570,1060,1090,1030,1000,1150,1180,1210,1240,1300,1330,1360,1390,1450,1480,1510,1540,1540
10000U,1529,1229,1079,1379,1679,1169,1199,1139,1109,1259,1289,1319,1349,1409,1439,1469,1499,1559,1589,1619,1649,1649
10001U,1240,940,790,1090,1390,880,910,850,820,970,1000,1030,1060,1120,1150,1180,1210,1270,1300,1330,1360,1360
10002U,1289,989,839,1139,1439,929,959,899,869,1019,1049,1079,1109,1169,1199,1229,1259,1319,1349,1379,1409,1409
10003U,1654,1354,1204,1504,1804,1294,1324,1264,1234,1384,1414,1444,1474,1534,1564,1594,1624,1684,1714,1744,1774,1774
10004U,1635,1335,1185,1485,1785,1275,1305,1245,1215,1365,1395,1425,1455,1515,1545,1575,1605,1665,1695,1725,1755,1755
10005U,1257,957,807,1107,1407,897,927,867,837,987,1017,1047,1077,1137,1167,1197,1227,1287,1317,1347,1377,1377
10006U,1441,1141,991,1291,1591,1081,1111,1051,1021,1171,1201,1231,1261,1321,1351,1381,1411,1471,1501,1531,1561,1561
10007U,1325,1025,875,1175,1475,965,995,935,905,1055,1085,1115,1145,1205,1235,1265,1295,1355,1385,1415,1445,1445
10008U,1263,963,813,1113,1413,903,933,873,843,993,1023,1053,1083,1143,1173,1203,1233,1293,1323,1353,1383,1383
10009U,1491,1191,1041,1341,1641,1131,1161,1101,1071,1221,1251,1281,1311,1371,1401,1431,1461,1521,1551,1581,1611,1611
10010U,1921,1621,1471,1771,2071,1561,1591,1531,1501,1651,1681,1711,1741,1801,1831,1861,1891,1951,1981,2011,2041,2041
10000D,1348,1048,898,1198,1498,988,1018,958,928,1078,1108,1138,1168,1228,1258,1288,1318,1378,1408,1438,1468,1468
10001D,1223,923,773,1073,1373,863,893,833,803,953,983,1013,1043,1103,1133,1163,1193,1253,1283,1313,1343,1343
10002D,1238,938,788,1088,1388,878,908,848,818,968,998,1028,1058,1118,1148,1178,1208,1268,1298,1328,1358,1358
10003D,1208,908,758,1058,1358,848,878,818,788,938,968,998,1028,1088,1118,1148,1178,1238,1268,1298,1328,1328
10004D,1385,1085,935,1235,1535,1025,1055,995,965,1115,1145,1175,1205,1265,1295,1325,1355,1415,1445,1475,1505,1505
10005D,1456,1156,1006,1306,1606,1096,1126,1066,1036,1186,1216,1246,1276,1336,1366,1396,1426,1486,1516,1546,1576,1576
10006D,1106,806,656,956,1256,746,776,716,686,836,866,896,926,986,1016,1046,1076,1136,1166,1196,1226,1226
10007D,1339,1039,889,1189,1489,979,1009,949,919,1069,1099,1129,1159,1219,1249,1279,1309,1369,1399,1429,1459,1459
10008D,2264,1964,1814,2114,2414,1904,1934,1874,1844,1994,2024,2054,2084,2144,2174,2204,2234,2294,2324,2354,2384,2384
10009D,1387,1087,937,1237,1537,1027,1057,997,967,1117,1147,1177,1207,1267,1297,1327,1357,1417,1447,1477,1507,1507
10010D,1432,1132,982,1282,1582,1072,1102,1042,1012,1162,1192,1222,1252,1312,1342,1372,1402,1462,1492,1522,1552,1552
10100U,1515,1215,1065,1365,1665,1155,1185,1125,1095,1245,1275,1305,1335,1395,1425,1455,1485,1545,1575,1605,1635,1635
10101U,1725,1425,1275,1575,1875,1365,1395,1335,1305,1455,1485,1515,1545,1605,1635,1665,1695,1755,1785,1815,1845,1845
10102U,1542,1242,1092,1392,1692,1182,1212,1152,1122,1272,1302,1332,1362,1422,1452,1482,1512,1572,1602,1632,1662,1662
10103U,1357,1057,907,1207,1507,997,1027,967,937,1087,1117,1147,1177,1237,1267,1297,1327,1387,1417,1447,1477,1477
10104U,1351,1051,901,1201,1501,991,1021,961,931,1081,1111,1141,1171,1231,1261,1291,1321,1381,1411,1441,1471,1471
10105U,1742,1442,1292,1592,1892,1382,1412,1352,1322,1472,1502,1532,1562,1622,1652,1682,1712,1772,1802,1832,1862,1862
10106U,1385,1085,935,1235,1535,1025,1055,995,965,1115,1145,1175,1205,1265,1295,1325,1355,1415,1445,1475,1505,1505
10107U,2336,2036,1886,2186,2486,1976,2006,1946,1916,2066,2096,2126,2156,2216,2246,2276,2306,2366,2396,2426,2456,2456
10108U,1995,1695,1545,1845,2145,1635,1665,1605,1575,1725,1755,1785,1815,1875,1905,1935,1965,2025,2055,2085,2115,2115
10109U,2136,1836,1686,1986,2286,1776,1806,1746,1716,1866,1896,1926,1956,2016,2046,2076,2106,2166,2196,2226,2256,2256
10110U,1350,1050,900,1200,1500,990,1020,960,930,1080,1110,1140,1170,1230,1260,1290,1320,1380,1410,1440,1470,1470
10100D,1354,1054,904,1204,1504,994,1024,964,934,1084,1114,1144,1174,1234,1264,1294,1324,1384,1414,1444,1474,1474
10101D,1850,1550,1400,1700,2000,1490,1520,1460,1430,1580,1610,1640,1670,1730,1760,1790,1820,1880,1910,0,1000,1100
10102D,1536,1236,1086,1386,1686,1176,1206,1146,1116,1266,1296,1326,1356,1416,1446,1476,1506,1566,1596,1626,1656,1656
