Bar, Voltage
00000U, 2304
00000D, 1437
00001U, 1340
00001D, 1349
00002U, 1393
00002D, 1418
00003U, 1317
00003D, 1385
00004U, 1170
00004D, 1214
00005U, 1298
00005D, 1319
00006U, 1406
00006D, 1306
00007U, 1467
00007D, 2296
00008U, 1253
00008D, 1344
00009U, 1439
00009D, 2029
00010U, 1539
00010D, 1932
00100U, 1549
00100D, 1198
00101U, 1342
00101D, 1962
00102U, 1403
00102D, 1249
00103U, 1366
00103D, 1056
00104U, 1424
00104D, 1312
00105U, 1421
00105D, 1493
00106U, 1295
00106D, 1798
00107U, 1332
00107D, 1272
00108U, 1427
00108D, 2101
00109U, 1226
00109D, 1275
00110U, 1332
00110D, 1421
10000U, 1536
10000D, 1367
10001U, 1161
10001D, 1239
10002U, 1263
10002D, 1189
10003U, 1659
10003D, 1202
10004U, 1567
10004D, 1290
10005U, 1250
10005D, 1431
10006U, 1446
10006D, 1102
10007U, 1329
10007D, 1303
10008U, 1267
10008D, 2167
10009U, 1467
10009D, 1357
10010U, 1903
10010D, 1394
10100U, 1414
10100D, 1453
10101U, 1509
10101D, 2089
10102U, 1527
10102D, 1495
10103U, 1357
10103D, 1713
10104U, 1364
10104D, 1183
10105U, 1709
10105D, 1236
10106U, 1375
10106D, 2110
10107U, 2311
10107D, 2146
10108U, 1998
10108D, 2212
10109U, 0
10109D, 0
10110U, 1356
10110D, 1381
20000U, 1477
20000D, 1503
20001U, 1432
20001D, 2250
20002U, 1465
20002D, 2313
20003U, 2070
20003D, 1340
20004U, 1094
20004D, 1160
20005U, 1211
20005D, 2332
20006U, 1929
20006D, 1271
20007U, 1167
20007D, 2009
20008U, 1631
20008D, 2292
20009U, 1245
20009D, 1209
20010U, 1273
20010D, 2242
REFBAR00U, 1329
REFBAR00D, 1234
REFBAR01U, 0
REFBAR01D, 0
REFBAR02U, 0
REFBAR02D, 0
REFBAR03U, 0
REFBAR03D, 0
REFBAR04U, 0
REFBAR04D, 0
REFBAR05U, 0
REFBAR05D, 0
REFBAR06U, 0
REFBAR06D, 0
REFBAR07U, 0
REFBAR07D, 0
REFBAR08U, 0
REFBAR08D, 0
REFBAR09U, 0
REFBAR09D, 0
REFBAR10U, 0
REFBAR10D, 0
