20001D,2249,2189,2219,2159,2129,2099,2069,2039
20002D,2303,2243,2273,2213,2183,2153,2123,2093
20003D,1334,1274,1304,1244,1214,1184,1154,1124
20004D,1177,1117,1147,1087,1057,1027,997,967
20005D,2304,2244,2274,2214,2184,2154,2124,2094
20006D,1243,1183,1213,1153,1123,1093,1063,1033
20007D,1998,1938,1968,1908,1878,1848,1818,1788
20008D,2322,2262,2292,2232,2202,2172,2142,2112
20009D,1187,1127,1157,1097,1067,1037,1007,977
20010D,2218,2158,2188,2128,2098,2068,2038,2008
