Bar,Top Voltage Correction,Bottom Voltage Correction
1,0,0
2,-313.724,-137.609
3,-245.465,-163.606
4,-265.977,-275.489
5,-318.994,-195.497
6,-239.885,-187.128
7,-339.033,-340.522
8,-319.344,-268.737
9,-362.267,-133.055
10,0,0
